Ser No,0 to 9,S/B,R/G
1100051751,6,B,R
1100051752,6,B,R
1100051753,0,S,R/V
1100051754,5,B,G/V
1100051755,7,B,G
1100051756,2,S,R
1100051757,7,B,G
1100051758,8,B,R
1100051759,7,B,G
1100051760,4,S,R
1100051761,2,S,R
1100051762,4,S,R
1100051763,0,S,R/V
1100051764,5,B,G/V
1100051765,4,S,R
1100051766,9,B,G
1100051767,0,S,R/V
1100051768,2,S,R
1100051769,9,B,G
1100051770,1,S,G
1100051771,6,B,R
1100051772,3,S,G
1100051773,2,S,R
1100051774,5,B,G/V
1100051775,0,S,R/V
1100051776,0,S,R/V
1100051777,4,S,R
1100051778,1,S,G
1100051779,6,B,R
1100051780,6,B,R
1100051781,2,S,R
1100051782,8,B,R
1100051783,3,S,G
1100051784,3,S,G
1100051785,9,B,G
1100051786,9,B,G
1100051787,4,S,R
1100051788,0,S,R/V
1100051789,8,B,R
1100051790,5,B,G/V
1100051791,2,S,R
1100051792,8,B,R
1100051793,7,B,G
1100051794,1,S,G
1100051795,4,S,R
1100051796,5,B,G/V
1100051797,6,B,R
1100051798,8,B,R
1100051799,2,S,R
1100051800,3,S,G
1100051801,2,S,R
1100051802,7,B,G
1100051803,0,S,R/V
1100051804,5,B,G/V
1100051805,2,S,R
1100051806,2,S,R
1100051807,5,B,G/V
1100051808,5,B,G/V
1100051809,8,B,R
1100051810,2,S,R
1100051811,0,S,R/V
1100051812,8,B,R
1100051813,3,S,G
1100051814,2,S,R
1100051815,7,B,G
1100051816,8,B,R
1100051817,1,S,G
1100051818,9,B,G
1100051819,8,B,R
1100051820,9,B,G
1100051821,5,B,G/V
1100051822,3,S,G
1100051823,9,B,G
1100051824,2,S,R
1100051825,9,B,G
1100051826,4,S,R
1100051827,1,S,G
1100051828,5,B,G/V
1100051829,5,B,G/V
1100051830,4,S,R
1100051831,4,S,R
1100051832,4,S,R
1100051833,3,S,G
1100051834,2,S,R
1100051835,7,B,G
1100051836,2,S,R
1100051837,2,S,R
1100051838,2,S,R
1100051839,7,B,G
1100051840,3,S,G
1100051841,8,B,R
1100051842,3,S,G
1100051843,9,B,G
1100051844,7,B,G
1100051845,7,B,G
1100051846,0,S,R/V
1100051847,1,S,G
1100051848,1,S,G
1100051849,6,B,R
1100051850,7,B,G
1100051851,1,S,G
1100051852,8,B,R
1100051853,2,S,R
1100051854,8,B,R
1100051855,4,S,R
1100051856,7,B,G
1100051857,8,B,R
1100051858,4,S,R
1100051859,7,B,G
1100051860,0,S,R/V
1100051861,0,S,R/V
1100051862,4,S,R
1100051863,6,B,R
1100051864,6,B,R
1100051865,8,B,R
1100051866,6,B,R
1100051867,2,S,R
1100051868,2,S,R
1100051869,5,B,G/V
1100051870,1,S,G
1100051871,5,B,G/V
1100051872,0,S,R/V
1100051873,1,S,G
1100051874,8,B,R
1100051875,5,B,G/V
1100051876,8,B,R
1100051877,2,S,R
1100051878,6,B,R
1100051879,1,S,G
1100051880,1,S,G
1100051881,7,B,G
1100051882,0,S,R/V
1100051883,3,S,G
1100051884,4,S,R
1100051885,6,B,R
1100051886,0,S,R/V
1100051887,4,S,R
1100051888,4,S,R
1100051889,3,S,G
1100051890,5,B,G/V
1100051891,0,S,R/V
1100051892,0,S,R/V
1100051893,1,S,G
1100051894,6,B,R
1100051895,9,B,G
1100051896,5,B,G/V
1100051897,1,S,G
1100051898,4,S,R
1100051899,5,B,G/V
1100051900,8,B,R
1100051901,1,S,G
1100051902,3,S,G
1100051903,9,B,G
1100051904,2,S,R
1100051905,3,S,G
1100051906,0,S,R/V
1100051907,6,B,R
1100051908,6,B,R
1100051909,4,S,R
1100051910,8,B,R
1100051911,7,B,G
1100051912,3,S,G
1100051913,8,B,R
1100051914,1,S,G
1100051915,4,S,R
1100051916,3,S,G
1100051917,2,S,R
1100051918,5,B,G/V
1100051919,6,B,R
1100051920,2,S,R
1100051921,1,S,G
1100051922,2,S,R
1100051923,8,B,R
1100051924,3,S,G
1100051925,3,S,G
1100051926,2,S,R
1100051927,0,S,R/V
1100051928,1,S,G
1100051929,8,B,R
1100051930,2,S,R
1100051931,8,B,R
1100051932,0,S,R/V
1100051933,3,S,G
1100051934,0,S,R/V
1100051935,8,B,R
1100051936,0,S,R/V
1100051937,2,S,R
1100051938,2,S,R
1100051939,7,B,G
1100051940,1,S,G
1100051941,3,S,G
1100051942,0,S,R/V
1100051943,0,S,R/V
1100051944,3,S,G
1100051945,3,S,G
1100051946,4,S,R
1100051947,0,S,R/V
1100051948,3,S,G
1100051949,7,B,G
1100051950,1,S,G
1100051951,0,S,R/V
1100051952,8,B,R
1100051953,5,B,G/V
1100051954,2,S,R
1100051955,1,S,G
1100051956,5,B,G/V
1100051957,2,S,R
1100051958,0,S,R/V
1100051959,3,S,G
1100051960,5,B,G/V
1100051961,2,S,R
1100051962,2,S,R
1100051963,9,B,G
1100051964,4,S,R
1100051965,8,B,R
1100051966,2,S,R
1100051967,5,B,G/V
1100051968,5,B,G/V
1100051969,2,S,R
1100051970,4,S,R
1100051971,9,B,G
1100051972,0,S,R/V
1100051973,9,B,G
1100051974,1,S,G
1100051975,4,S,R
1100051976,1,S,G
1100051977,5,B,G/V
1100051978,4,S,R
1100051979,9,B,G
1100051980,8,B,R
1100051981,8,B,R
1100051982,6,B,R
1100051983,1,S,G
1100051984,4,S,R
1100051985,2,S,R
1100051986,3,S,G
1100051987,2,S,R
1100051988,7,B,G
1100051989,3,S,G
1100051990,7,B,G
1100051991,8,B,R
1100051992,5,B,G/V
1100051993,2,S,R
1100051994,7,B,G
1100051995,0,S,R/V
1100051996,4,S,R
1100051997,4,S,R
1100051998,1,S,G
1100051999,0,S,R/V
1100052000,4,S,R
1100052001,7,B,G
1100052002,4,S,R
1100052003,1,S,G
1100052004,7,B,G
1100052005,0,S,R/V
1100052006,9,B,G
1100052007,0,S,R/V
1100052008,0,S,R/V
1100052009,2,S,R
1100052010,8,B,R
1100052011,3,S,G
1100052012,8,B,R
1100052013,9,B,G
1100052014,8,B,R
1100052015,3,S,G
1100052016,3,S,G
1100052017,2,S,R
1100052018,0,S,R/V
1100052019,1,S,G
1100052020,5,B,G/V
1100052021,1,S,G
1100052022,3,S,G
1100052023,7,B,G
1100052024,7,B,G
1100052025,2,S,R
1100052026,8,B,R
1100052027,6,B,R
1100052028,0,S,R/V
1100052029,3,S,G
1100052030,8,B,R
1100052031,7,B,G
1100052032,1,S,G
1100052033,5,B,G/V
1100052034,8,B,R
1100052035,0,S,R/V
1100052036,9,B,G
1100052037,2,S,R
1100052038,5,B,G/V
1100052039,2,S,R
1100052040,9,B,G
1100052041,7,B,G
1100052042,6,B,R
1100052043,9,B,G
1100052044,5,B,G/V
1100052045,1,S,G
1100052046,0,S,R/V
1100052047,1,S,G
1100052048,6,B,R
1100052049,6,B,R
1100052050,2,S,R
1100052051,1,S,G
1100052052,8,B,R
1100052053,1,S,G
1100052054,6,B,R
1100052055,8,B,R
1100052056,8,B,R
1100052057,0,S,R/V
1100052058,1,S,G
1100052059,7,B,G
1100052060,7,B,G
1100052061,6,B,R
1100052062,2,S,R
1100052063,0,S,R/V
1100052064,5,B,G/V
1100052065,8,B,R
1100052066,2,S,R
1100052067,7,B,G
1100052068,6,B,R
1100052069,8,B,R
1100052070,0,S,R/V
1100052071,9,B,G
1100052072,5,B,G/V
1100052073,3,S,G
1100052074,0,S,R/V
1100052075,1,S,G
1100052076,9,B,G
1100052077,4,S,R
1100052078,2,S,R
1100052079,4,S,R
1100052080,4,S,R
1100052081,7,B,G
1100052082,3,S,G
1100052083,5,B,G/V
1100052084,3,S,G
1100052085,9,B,G
1100052086,1,S,G
1100052087,6,B,R
1100052088,6,B,R
1100052089,9,B,G
1100052090,5,B,G/V
1100052091,0,S,R/V
1100052092,9,B,G
1100052093,3,S,G
1100052094,5,B,G/V
1100052095,9,B,G
1100052096,8,B,R
1100052097,2,S,R
1100052098,9,B,G
1100052099,3,S,G
1100052100,4,S,R
1100052101,5,B,G/V
1100052102,6,B,R
1100052103,6,B,R
1100052104,1,S,G
1100052105,7,B,G
1100052106,0,S,R/V
1100052107,2,S,R
1100052108,6,B,R
1100052109,8,B,R
1100052110,5,B,G/V
1100052111,4,S,R
1100052112,6,B,R
1100052113,2,S,R
1100052114,7,B,G
1100052115,0,S,R/V
1100052116,8,B,R
1100052117,8,B,R
1100052118,9,B,G
1100052119,6,B,R
1100052120,8,B,R
1100052121,0,S,R/V
1100052122,8,B,R
1100052123,5,B,G/V
1100052124,8,B,R
1100052125,8,B,R
1100052126,1,S,G
1100052127,1,S,G
1100052128,0,S,R/V
1100052129,2,S,R
1100052130,2,S,R
1100052131,2,S,R
1100052132,3,S,G
1100052133,7,B,G
1100052134,2,S,R
1100052135,0,S,R/V
1100052136,8,B,R
1100052137,3,S,G
1100052138,0,S,R/V
1100052139,2,S,R
1100052140,4,S,R
1100052141,7,B,G
1100052142,4,S,R
1100052143,9,B,G
1100052144,9,B,G
1100052145,5,B,G/V
1100052146,3,S,G
1100052147,9,B,G
1100052148,3,S,G
1100052149,1,S,G
1100052150,0,S,R/V
1100052151,9,B,G
1100052152,4,S,R
1100052153,5,B,G/V
1100052154,3,S,G
1100052155,5,B,G/V
1100052156,8,B,R
1100052157,1,S,G
1100052158,1,S,G
1100052159,2,S,R
1100052160,5,B,G/V
1100052161,3,S,G
1100052162,5,B,G/V
1100052163,9,B,G
1100052164,5,B,G/V
1100052165,1,S,G
1100052166,8,B,R
1100052167,3,S,G
1100052168,1,S,G
1100052169,2,S,R
1100052170,5,B,G/V
1100052171,7,B,G
1100052172,8,B,R
1100052173,2,S,R
1100052174,2,S,R
1100052175,6,B,R
1100052176,8,B,R
1100052177,0,S,R/V
1100052178,8,B,R
1100052179,5,B,G/V
1100052180,3,S,G
1100052181,2,S,R
1100052182,8,B,R
1100052183,6,B,R
1100052184,5,B,G/V
1100052185,5,B,G/V
1100052186,0,S,R/V
1100052187,9,B,G
1100052188,8,B,R
1100052189,7,B,G
1100052190,8,B,R
1100052191,5,B,G/V
1100052192,0,S,R/V
1100052193,3,S,G
1100052194,1,S,G
1100052195,6,B,R
1100052196,9,B,G
1100052197,3,S,G
1100052198,1,S,G
1100052199,7,B,G
1100052200,8,B,R
1100052201,0,S,R/V
1100052202,6,B,R
1100052203,2,S,R
1100052204,6,B,R
1100052205,6,B,R
1100052206,1,S,G
1100052207,5,B,G/V
1100052208,7,B,G
1100052209,2,S,R
1100052210,8,B,R
1100052211,6,B,R
1100052212,6,B,R
1100052213,7,B,G
1100052214,0,S,R/V
1100052215,2,S,R
1100052216,4,S,R
1100052217,7,B,G
1100052218,8,B,R
1100052219,3,S,G
1100052220,7,B,G
1100052221,9,B,G
1100052222,2,S,R
1100052223,1,S,G
1100052224,3,S,G
1100052225,4,S,R
1100052226,0,S,R/V
1100052227,5,B,G/V
1100052228,2,S,R
1100052229,9,B,G
1100052230,6,B,R
1100052231,1,S,G
1100052232,0,S,R/V
1100052233,5,B,G/V
1100052234,7,B,G
1100052235,5,B,G/V
1100052236,2,S,R
1100052237,8,B,R
1100052238,1,S,G
1100052239,4,S,R
1100052240,9,B,G
1100052241,2,S,R
1100052242,2,S,R
1100052243,8,B,R
1100052244,5,B,G/V
1100052245,2,S,R
1100052246,4,S,R
1100052247,0,S,R/V
1100052248,9,B,G
1100052249,7,B,G
1100052250,9,B,G
1100052251,5,B,G/V
1100052252,2,S,R
1100052253,9,B,G
1100052254,1,S,G
1100052255,8,B,R
1100052256,0,S,R/V
1100052257,4,S,R
1100052258,5,B,G/V
1100052259,7,B,G
1100052260,1,S,G
1100052261,7,B,G
1100052262,4,S,R
1100052263,1,S,G
1100052264,7,B,G
1100052265,6,B,R
1100052266,6,B,R
1100052267,9,B,G
1100052268,0,S,R/V
1100052269,4,S,R
1100052270,7,B,G
1100052271,9,B,G
1100052272,1,S,G
1100052273,4,S,R
1100052274,1,S,G
1100052275,2,S,R
1100052276,0,S,R/V
1100052277,4,S,R
1100052278,0,S,R/V
1100052279,6,B,R
1100052280,7,B,G
1100052281,3,S,G
1100052282,0,S,R/V
1100052283,7,B,G
1100052284,9,B,G
1100052285,9,B,G
1100052286,4,S,R
1100052287,1,S,G
1100052288,9,B,G
1100052289,7,B,G
1100052290,2,S,R
1100052291,2,S,R
1100052292,6,B,R
1100052293,5,B,G/V
1100052294,4,S,R
1100052295,1,S,G
1100052296,7,B,G
1100052297,8,B,R
1100052298,0,S,R/V
1100052299,7,B,G
1100052300,2,S,R
1100052301,3,S,G
1100052302,1,S,G
1100052303,9,B,G
1100052304,0,S,R/V
1100052305,2,S,R
1100052306,5,B,G/V
1100052307,1,S,G
1100052308,1,S,G
1100052309,7,B,G
1100052310,3,S,G
1100052311,9,B,G
1100052312,5,B,G/V
1100052313,8,B,R
1100052314,8,B,R
1100052315,5,B,G/V
1100052316,7,B,G
1100052317,0,S,R/V
1100052318,2,S,R
1100052319,2,S,R
1100052320,9,B,G
1100052321,8,B,R
1100052322,4,S,R
1100052323,7,B,G
1100052324,4,S,R
1100052325,4,S,R
1100052326,3,S,G
1100052327,4,S,R
1100052328,4,S,R
1100052329,7,B,G
1100052330,0,S,R/V
1100052331,9,B,G
1100052332,3,S,G
1100052333,5,B,G/V
1100052334,9,B,G
1100052335,0,S,R/V
1100052336,4,S,R
1100052337,9,B,G
1100052338,5,B,G/V
1100052339,9,B,G
1100052340,4,S,R
1100052341,1,S,G
1100052342,8,B,R
1100052343,8,B,R
1100052344,2,S,R
1100052345,7,B,G
1100052346,0,S,R/V
1100052347,4,S,R
1100052348,1,S,G
1100052349,8,B,R
1100052350,7,B,G
1100052351,8,B,R
1100052352,3,S,G
1100052353,6,B,R
1100052354,2,S,R
1100052355,1,S,G
1100052356,2,S,R
1100052357,6,B,R
1100052358,5,B,G/V
1100052359,8,B,R
1100052360,3,S,G
1100052361,5,B,G/V
1100052362,2,S,R
1100052363,8,B,R
1100052364,1,S,G
1100052365,0,S,R/V
1100052366,6,B,R
1100052367,4,S,R
1100052368,6,B,R
1100052369,9,B,G
1100052370,1,S,G
1100052371,5,B,G/V
1100052372,2,S,R
1100052373,0,S,R/V
1100052374,2,S,R
1100052375,8,B,R
1100052376,3,S,G
1100052377,5,B,G/V
1100052378,5,B,G/V
1100052379,1,S,G
1100052380,0,S,R/V
1100052381,3,S,G
1100052382,6,B,R
1100052383,0,S,R/V
1100052384,0,S,R/V
1100052385,1,S,G
1100052386,7,B,G
1100052387,9,B,G
1100052388,2,S,R
1100052389,3,S,G
1100052390,8,B,R
1100052391,0,S,R/V
1100052392,0,S,R/V
1100052393,9,B,G
1100052394,6,B,R
1100052395,4,S,R
1100052396,9,B,G
1100052397,7,B,G
1100052398,5,B,G/V
1100052399,5,B,G/V
1100052400,2,S,R
1100052401,8,B,R
1100052402,3,S,G
1100052403,9,B,G
1100052404,1,S,G
1100052405,0,S,R/V
1100052406,6,B,R
1100052407,8,B,R
1100052408,9,B,G
1100052409,8,B,R
1100052410,6,B,R
1100052411,0,S,R/V
1100052412,1,S,G
1100052413,8,B,R
1100052414,6,B,R
1100052415,8,B,R
1100052416,9,B,G
1100052417,9,B,G
1100052418,2,S,R
1100052419,4,S,R
1100052420,5,B,G/V
1100052421,6,B,R
1100052422,5,B,G/V
1100052423,0,S,R/V
1100052424,7,B,G
1100052425,7,B,G
1100052426,2,S,R
1100052427,1,S,G
1100052428,0,S,R/V
1100052429,0,S,R/V
1100052430,8,B,R
1100052431,7,B,G
1100052432,8,B,R
1100052433,7,B,G
1100052434,5,B,G/V
1100052435,8,B,R
1100052436,6,B,R
1100052437,3,S,G
1100052438,4,S,R
1100052439,4,S,R
1100052440,2,S,R
1100052441,2,S,R
1100052442,9,B,G
1100052443,0,S,R/V
1100052444,3,S,G
1100052445,9,B,G
1100052446,6,B,R
1100052447,4,S,R
1100052448,2,S,R
1100052449,5,B,G/V
1100052450,0,S,R/V
1100052451,8,B,R
1100052452,6,B,R
1100052453,7,B,G
1100052454,7,B,G
1100052455,9,B,G
1100052456,2,S,R
1100052457,7,B,G
1100052458,5,B,G/V
1100052459,7,B,G
1100052460,6,B,R
1100052461,0,S,R/V
1100052462,1,S,G
1100052463,8,B,R
1100052464,4,S,R
1100052465,7,B,G
1100052466,9,B,G
1100052467,6,B,R
1100052468,9,B,G
1100052469,2,S,R
1100052470,0,S,R/V
1100052471,9,B,G
1100052472,4,S,R
1100052473,1,S,G
1100052474,3,S,G
1100052475,7,B,G
1100052476,7,B,G
1100052477,0,S,R/V
1100052478,6,B,R
1100052479,0,S,R/V
1100052480,9,B,G
1100052481,1,S,G
1100052482,4,S,R
1100052483,7,B,G
1100052484,5,B,G/V
1100052485,5,B,G/V
1100052486,1,S,G
1100052487,8,B,R
1100052488,1,S,G
1100052489,0,S,R/V
1100052490,4,S,R
1100052491,3,S,G
1100052492,1,S,G
1100052493,9,B,G
1100052494,7,B,G
1100052495,5,B,G/V
1100052496,6,B,R
1100052497,9,B,G
1100052498,1,S,G
1100052499,5,B,G/V
1100052500,3,S,G
1100052501,0,S,R/V
1100052502,3,S,G
1100052503,0,S,R/V
1100052504,2,S,R
1100052505,5,B,G/V
1100052506,0,S,R/V
1100052507,4,S,R
1100052508,8,B,R
1100052509,3,S,G
1100052510,5,B,G/V
1100052511,0,S,R/V
1100052512,1,S,G
1100052513,8,B,R
1100052514,3,S,G
1100052515,9,B,G
1100052516,8,B,R
1100052517,7,B,G
1100052518,7,B,G
1100052519,5,B,G/V
1100052520,0,S,R/V
1100052521,4,S,R
1100052522,3,S,G
1100052523,9,B,G
1100052524,4,S,R
1100052525,8,B,R
1100052526,8,B,R
1100052527,8,B,R
1100052528,5,B,G/V
1100052529,1,S,G
1100052530,6,B,R
1100052531,7,B,G
1100052532,7,B,G
1100052533,4,S,R
1100052534,5,B,G/V
1100052535,2,S,R
1100052536,3,S,G
1100052537,9,B,G
1100052538,7,B,G
1100052539,6,B,R
1100052540,5,B,G/V
1100052541,7,B,G
1100052542,4,S,R
1100052543,8,B,R
1100052544,1,S,G
1100052545,8,B,R
1100052546,4,S,R
1100052547,5,B,G/V
1100052548,8,B,R
1100052549,6,B,R
1100052550,3,S,G
1100052551,4,S,R
1100052552,5,B,G/V
1100052553,6,B,R
1100052554,1,S,G
1100052555,7,B,G
1100052556,3,S,G
1100052557,6,B,R
1100052558,5,B,G/V
1100052559,1,S,G
1100052560,9,B,G
1100052561,3,S,G
1100052562,7,B,G
1100052563,0,S,R/V
1100052564,1,S,G
1100052565,3,S,G
1100052566,3,S,G
1100052567,6,B,R
1100052568,1,S,G
1100052569,1,S,G
1100052570,3,S,G
1100052571,9,B,G
1100052572,7,B,G
1100052573,4,S,R
1100052574,2,S,R
1100052575,5,B,G/V
1100052576,8,B,R
1100052577,0,S,R/V
1100052578,9,B,G
1100052579,5,B,G/V
1100052580,1,S,G
1100052581,8,B,R
1100052582,3,S,G
1100052583,0,S,R/V
1100052584,6,B,R
1100052585,6,B,R
1100052586,5,B,G/V
1100052587,6,B,R
1100052588,6,B,R
1100052589,6,B,R
1100052590,5,B,G/V
1100052591,4,S,R
1100052592,4,S,R
1100052593,4,S,R
1100052594,9,B,G
1100052595,6,B,R
1100052596,2,S,R
1100052597,7,B,G
1100052598,2,S,R
1100052599,1,S,G
1100052600,1,S,G
1100052601,8,B,R
1100052602,8,B,R
1100052603,7,B,G
1100052604,0,S,R/V
1100052605,5,B,G/V
1100052606,1,S,G
1100052607,7,B,G
1100052608,9,B,G
1100052609,2,S,R
1100052610,3,S,G
1100052611,3,S,G
1100052612,4,S,R
1100052613,0,S,R/V
1100052614,5,B,G/V
1100052615,8,B,R
1100052616,5,B,G/V
1100052617,8,B,R
1100052618,7,B,G
1100052619,0,S,R/V
1100052620,3,S,G
1100052621,4,S,R
1100052622,8,B,R
1100052623,0,S,R/V
1100052624,7,B,G
1100052625,0,S,R/V
1100052626,3,S,G
1100052627,2,S,R
1100052628,1,S,G
1100052629,7,B,G
1100052630,9,B,G
1100052631,4,S,R
1100052632,6,B,R
1100052633,7,B,G
1100052634,5,B,G/V
1100052635,1,S,G
1100052636,5,B,G/V
1100052637,2,S,R
1100052638,4,S,R
1100052639,4,S,R
1100052640,7,B,G
1100052641,6,B,R
1100052642,8,B,R
1100052643,3,S,G
1100052644,9,B,G
1100052645,2,S,R
1100052646,1,S,G
1100052647,6,B,R
1100052648,7,B,G
1100052649,1,S,G
1100052650,3,S,G
1100052651,0,S,R/V
1100052652,5,B,G/V
1100052653,1,S,G
1100052654,5,B,G/V
1100052655,4,S,R
1100052656,4,S,R
1100052657,4,S,R
1100052658,8,B,R
1100052659,2,S,R
1100052660,2,S,R
1100052661,2,S,R
1100052662,1,S,G
1100052663,4,S,R
1100052664,1,S,G
1100052665,1,S,G
1100052666,4,S,R
1100052667,4,S,R
1100052668,3,S,G
1100052669,6,B,R
1100052670,7,B,G
1100052671,9,B,G
1100052672,2,S,R
1100052673,4,S,R
1100052674,8,B,R
1100052675,0,S,R/V
1100052676,1,S,G
1100052677,8,B,R
1100052678,9,B,G
1100052679,2,S,R
1100052680,3,S,G
1100052681,9,B,G
1100052682,2,S,R
1100052683,1,S,G
1100052684,4,S,R
1100052685,8,B,R
1100052686,2,S,R
1100052687,2,S,R
1100052688,4,S,R
1100052689,4,S,R
1100052690,0,S,R/V
1100052691,1,S,G
1100052692,5,B,G/V
1100052693,7,B,G
1100052694,5,B,G/V
1100052695,4,S,R
1100052696,5,B,G/V
1100052697,8,B,R
1100052698,2,S,R
1100052699,6,B,R
1100052700,5,B,G/V
1100052701,5,B,G/V
1100052702,1,S,G
1100052703,6,B,R
1100052704,2,S,R
1100052705,8,B,R
1100052706,3,S,G
1100052707,8,B,R
1100052708,5,B,G/V
1100052709,4,S,R
1100052710,9,B,G
1100052711,9,B,G
1100052712,4,S,R
1100052713,0,S,R/V
1100052714,8,B,R
1100052715,3,S,G
1100052716,4,S,R
1100052717,7,B,G
1100052718,8,B,R
1100052719,9,B,G
1100052720,0,S,R/V
1100052721,8,B,R
1100052722,7,B,G
1100052723,5,B,G/V
1100052724,1,S,G
1100052725,5,B,G/V
1100052726,9,B,G
1100052727,9,B,G
1100052728,1,S,G
1100052729,1,S,G
1100052730,9,B,G
1100052731,4,S,R
1100052732,9,B,G
1100052733,0,S,R/V
1100052734,5,B,G/V
1100052735,9,B,G
1100052736,0,S,R/V
1100052737,0,S,R/V
1100052738,7,B,G
1100052739,8,B,R
1100052740,0,S,R/V
1100052741,7,B,G
1100052742,5,B,G/V
1100052743,2,S,R
1100052744,8,B,R
1100052745,9,B,G
1100052746,7,B,G
1100052747,5,B,G/V
1100052748,3,S,G
1100052749,2,S,R
1100052750,4,S,R
1100052751,1,S,G
1100052752,1,S,G
1100052753,1,S,G
1100052754,0,S,R/V
1100052755,5,B,G/V
1100052756,2,S,R
1100052757,8,B,R
1100052758,7,B,G
1100052759,2,S,R
1100052760,2,S,R
1100052761,4,S,R
1100052762,3,S,G
1100052763,5,B,G/V
1100052764,9,B,G
1100052765,2,S,R
1100052766,0,S,R/V
1100052767,3,S,G
1100052768,9,B,G
1100052769,3,S,G
1100052770,4,S,R
1100052771,2,S,R
1100052772,1,S,G
1100052773,7,B,G
1100052774,2,S,R
1100052775,2,S,R
1100052776,2,S,R
1100052777,5,B,G/V
1100052778,1,S,G
1100052779,5,B,G/V
1100052780,8,B,R
1100052781,0,S,R/V
1100052782,8,B,R
1100052783,5,B,G/V
1100052784,4,S,R
1100052785,0,S,R/V
1100052786,9,B,G
1100052787,7,B,G
1100052788,6,B,R
1100052789,8,B,R
1100052790,9,B,G
1100052791,8,B,R
1100052792,8,B,R
1100052793,8,B,R
1100052794,3,S,G
1100052795,9,B,G
1100052796,2,S,R
1100052797,0,S,R/V
1100052798,8,B,R
1100052799,5,B,G/V
1100052800,2,S,R
1100052801,7,B,G
1100052802,9,B,G
1100052803,1,S,G
1100052804,4,S,R
1100052805,9,B,G
1100052806,7,B,G
1100052807,5,B,G/V
1100052808,6,B,R
1100052809,8,B,R
1100052810,5,B,G/V
1100052811,6,B,R
1100052812,3,S,G
1100052813,4,S,R
1100052814,2,S,R
1100052815,2,S,R
1100052816,7,B,G
1100052817,9,B,G
1100052818,8,B,R
1100052819,4,S,R
1100052820,3,S,G
1100052821,3,S,G
1100052822,3,S,G
1100052823,8,B,R
1100052824,8,B,R
1100052825,3,S,G
