Ser No,0 to 9,B/S,R/G
17100050246,6,B,R
17100050247,3,S,G
17100050248,0,S,R
17100050249,2,S,R
17100050250,1,S,G
17100050251,0,S,R
17100050252,0,S,R
17100050253,0,S,R
17100050254,7,B,G
17100050255,5,B,G
17100050256,3,S,G
17100050257,0,S,R
17100050258,3,S,G
17100050259,9,B,G
17100050260,4,S,R
17100050261,2,S,R
17100050262,2,S,R
17100050263,1,S,G
17100050264,0,S,R
17100050265,4,S,R
17100050266,1,S,G
17100050267,4,S,R
17100050268,7,B,G
17100050269,6,B,R
17100050270,4,S,R
17100050271,3,S,G
17100050272,5,B,G
17100050273,7,B,G
17100050274,5,B,G
17100050275,3,S,G
17100050276,1,S,G
17100050277,4,S,R
17100050278,2,S,R
17100050279,2,S,R
17100050280,6,B,R
17100050281,0,S,R
17100050282,3,S,G
17100050283,4,S,R
17100050284,6,B,R
17100050285,7,B,G
17100050286,8,B,R
17100050287,8,B,R
17100050288,2,S,R
17100050289,4,S,R
17100050290,6,B,R
17100050291,1,S,G
17100050292,8,B,R
17100050293,4,S,R
17100050294,7,B,G
17100050295,6,B,R
17100050296,2,S,R
17100050297,6,B,R
17100050298,7,B,G
17100050299,8,B,R
17100050300,9,B,G
17100050301,6,B,R
17100050302,6,B,R
17100050303,1,S,G
17100050304,1,S,G
17100050305,1,S,G
17100050306,9,B,G
17100050307,2,S,R
17100050308,7,B,G
17100050309,5,B,G
17100050310,5,B,G
17100050311,7,B,G
17100050312,0,S,R
17100050313,8,B,R
17100050314,6,B,R
17100050315,6,B,R
17100050316,5,B,G
17100050317,1,S,G
17100050318,9,B,G
17100050319,5,B,G
17100050320,5,B,G
17100050321,0,S,R
17100050322,9,B,G
17100050323,0,S,R
17100050324,9,B,G
17100050325,4,S,R
17100050326,2,S,R
17100050327,3,S,G
17100050328,0,S,R
17100050329,2,S,R
17100050330,8,B,R
17100050331,1,S,G
17100050332,6,B,R
17100050333,7,B,G
17100050334,2,S,R
17100050335,2,S,R
17100050336,3,S,G
17100050337,0,S,R
17100050338,8,B,R
17100050339,9,B,G
17100050340,7,B,G
17100050341,3,S,G
17100050342,1,S,G
17100050343,3,S,G
17100050344,0,S,R
17100050345,0,S,R
17100050346,6,B,R
17100050347,9,B,G
17100050348,0,S,R
17100050349,0,S,R
17100050350,4,S,R
17100050351,7,B,G
17100050352,7,B,G
17100050353,9,B,G
17100050354,2,S,R
17100050355,6,B,R
17100050356,3,S,G
17100050357,9,B,G
17100050358,3,S,G
17100050359,0,S,R
17100050360,3,S,G
17100050361,6,B,R
17100050362,1,S,G
17100050363,5,B,G
17100050364,4,S,R
17100050365,1,S,G
17100050366,6,B,R
17100050367,1,S,G
17100050368,8,B,R
17100050369,9,B,G
17100050370,9,B,G
17100050371,3,S,G
17100050372,2,S,R
17100050373,5,B,G
17100050374,7,B,G
17100050375,6,B,R
17100050376,0,S,R
17100050377,8,B,R
17100050378,6,B,R
17100050379,2,S,R
17100050380,5,B,G
17100050381,0,S,R
17100050382,8,B,R
17100050383,2,S,R
17100050384,4,S,R
17100050385,6,B,R
17100050386,3,S,G
17100050387,2,S,R
17100050388,1,S,G
17100050389,1,S,G
17100050390,1,S,G
17100050391,9,B,G
17100050392,4,S,R
17100050393,8,B,R
17100050394,9,B,G
17100050395,4,S,R
17100050396,5,B,G
17100050397,1,S,G
17100050398,4,S,R
17100050399,8,B,R
17100050400,6,B,R
17100050401,6,B,R
17100050402,4,S,R
17100050403,9,B,G
17100050404,8,B,R
17100050405,0,S,R
17100050406,5,B,G
17100050407,1,S,G
17100050408,2,S,R
17100050409,2,S,R
17100050410,8,B,R
17100050411,3,S,G
17100050412,9,B,G
17100050413,4,S,R
17100050414,1,S,G
17100050415,2,S,R
17100050416,8,B,R
17100050417,2,S,R
17100050418,1,S,G
17100050419,0,S,R
17100050420,8,B,R
17100050421,6,B,R
17100050422,8,B,R
17100050423,0,S,R
17100050424,0,S,R
17100050425,1,S,G
17100050426,1,S,G
17100050427,4,S,R
17100050428,2,S,R
17100050429,9,B,G
17100050430,1,S,G
17100050431,8,B,R
17100050432,6,B,R
17100050433,3,S,G
17100050434,4,S,R
17100050435,2,S,R
17100050436,3,S,G
17100050437,5,B,G
17100050438,9,B,G
17100050439,5,B,G
17100050440,1,S,G
17100050441,5,B,G
17100050442,5,B,G
17100050443,7,B,G
17100050444,3,S,G
17100050445,9,B,G
17100050446,4,S,R
17100050447,5,B,G
17100050448,4,S,R
17100050449,0,S,R
17100050450,8,B,R
17100050451,2,S,R
17100050452,3,S,G
17100050453,2,S,R
17100050454,1,S,G
17100050455,6,B,R
17100050456,9,B,G
17100050457,1,S,G
17100050458,2,S,R
17100050459,3,S,G
17100050460,1,S,G
17100050461,3,S,G
17100050462,4,S,R
17100050488,1,S,G
17100050489,4,S,R
17100050490,9,B,G
17100050491,6,B,R
17100050492,8,B,R
17100050493,1,S,G
17100050494,5,B,G
17100050495,9,B,G
17100050496,1,S,G
17100050497,5,B,G
17100050498,7,B,G
17100050499,4,S,R
17100050500,8,B,R
17100050501,1,S,G
17100050502,6,B,R
17100050503,9,B,G
17100050504,6,B,R
17100050505,6,B,R
17100050506,9,B,G
17100050507,9,B,G
17100050508,9,B,G
17100050509,9,B,G
17100050510,9,B,G
17100050511,3,S,G
17100050512,0,S,R
17100050513,5,B,G
17100050514,1,S,G
17100050515,6,B,R
17100050516,3,S,G
17100050517,2,S,R
17100050518,1,S,G
17100050519,0,S,R
17100050520,2,S,R
17100050521,8,B,R
17100050522,2,S,R
17100050523,5,B,G
17100050524,2,S,R
17100050525,4,S,R
17100050526,3,S,G
17100050527,7,B,G
17100050528,8,B,R
17100050529,5,B,G
17100050530,0,S,R
17100050531,3,S,G
17100050532,9,B,G
17100050533,5,B,G
17100050534,5,B,G
17100050535,9,B,G
17100050536,8,B,R
17100050537,3,S,G
17100050538,0,S,R
17100050539,6,B,R
17100050540,7,B,G
17100050541,4,S,R
17100050542,9,B,G
17100050543,5,B,G
17100050544,1,S,G
17100050545,4,S,R
17100050546,0,S,R
17100050547,6,B,R
17100050548,9,B,G
17100050549,8,B,R
17100050550,1,S,G
17100050551,9,B,G
17100050552,0,S,R
17100050553,0,S,R
17100050554,6,B,R
17100050555,9,B,G
17100050556,6,B,R
17100050557,1,S,G
17100050558,9,B,G
17100050559,6,B,R
17100050560,5,B,G
17100050561,1,S,G
17100050562,0,S,R
17100050563,3,S,G
17100050564,3,S,G
17100050565,6,B,R
17100050566,6,B,R
17100050567,4,S,R
17100050568,9,B,G
17100050569,6,B,R
17100050570,9,B,G
17100050571,1,S,G
17100050572,1,S,G
17100050573,1,S,G
17100050574,5,B,G
17100050575,5,B,G
17100050576,7,B,G
17100050577,0,S,R
17100050578,9,B,G
17100050579,5,B,G
17100050580,3,S,G
17100050581,7,B,G
17100050582,1,S,G
17100050583,0,S,R
17100050584,3,S,G
17100050585,3,S,G
17100050586,4,S,R
17100050587,7,B,G
17100050588,1,S,G
17100050589,6,B,R
17100050590,8,B,R
17100050591,1,S,G
17100050592,6,B,R
17100050593,1,S,G
17100050594,5,B,G
17100050595,3,S,G
17100050596,2,S,R
17100050597,5,B,G
17100050598,4,S,R
17100050599,9,B,G
17100050600,8,B,R
17100050601,8,B,R
17100050602,3,S,G
17100050603,5,B,G
17100050604,5,B,G
17100050605,8,B,R
17100050606,6,B,R
17100050607,4,S,R
17100050608,3,S,G
17100050609,9,B,G
17100050610,4,S,R
17100050611,5,B,G
17100050612,8,B,R
17100050613,7,B,G
17100050614,7,B,G
17100050615,5,B,G
17100050616,1,S,G
17100050617,3,S,G
17100050618,3,S,G
17100050619,4,S,R
17100050620,0,S,R
17100050621,1,S,G
17100050622,9,B,G
17100050623,3,S,G
17100050624,7,B,G
17100050625,3,S,G
17100050626,7,B,G
17100050627,5,B,G
17100050628,5,B,G
17100050629,6,B,R
17100050630,6,B,R
17100050631,0,S,R
17100050632,8,B,R
17100050633,7,B,G
17100050634,2,S,R
17100050635,0,S,R
17100050636,3,S,G
17100050637,7,B,G
17100050638,5,B,G
17100050639,2,S,R
17100050640,7,B,G
17100050641,9,B,G
17100050642,0,S,R
17100050643,1,S,G
17100050644,6,B,R
17100050645,0,S,R
17100050646,9,B,G
17100050647,9,B,G
17100050648,6,B,R
17100050649,9,B,G
17100050650,5,B,G
17100050651,7,B,G
17100050652,5,B,G
17100050653,0,S,R
17100050654,8,B,R
17100050655,1,S,G
17100050656,0,S,R
17100050657,1,S,G
17100050658,1,S,G
17100050659,8,B,R
17100050660,0,S,R
17100050661,9,B,G
17100050662,8,B,R
17100050663,5,B,G
17100050664,0,S,R
17100050665,8,B,R
17100050666,3,S,G
17100050667,7,B,G
17100050668,9,B,G
17100050669,1,S,G
17100050670,8,B,R
17100050671,9,B,G
17100050672,4,S,R
17100050673,2,S,R
17100050674,4,S,R
17100050675,3,S,G
17100050676,2,S,R
17100050677,1,S,G
17100050678,0,S,R
17100050679,7,B,G
17100050680,8,B,R
17100050681,9,B,G
17100050682,9,B,G
17100050683,8,B,R
17100050684,9,B,G
17100050685,4,S,R
17100050686,1,S,G
17100050687,4,S,R
17100050688,8,B,R
17100050689,0,S,R
17100050690,0,S,R
17100050691,4,S,R
17100050692,7,B,G
17100050693,4,S,R
17100050694,1,S,G
17100050695,2,S,R
17100050696,1,S,G
17100050697,7,B,G
17100050698,4,S,R
17100050699,6,B,R
17100050700,1,S,G
17100050701,3,S,G
17100050702,1,S,G
17100050703,2,S,R
17100050704,0,S,R
17100050705,0,S,R
17100050706,0,S,R
17100050707,1,S,G
17100050708,0,S,R
17100050709,4,S,R
17100050710,9,B,G
17100050711,8,B,R
17100050712,9,B,G
17100050713,1,S,G
17100050714,6,B,R
17100050715,0,S,R
17100050716,1,S,G
17100050717,3,S,G
17100050718,0,S,R
17100050719,1,S,G
17100050720,1,S,G
17100050721,2,S,R
17100050722,8,B,R
17100050723,3,S,G
17100050724,0,S,R
17100050725,0,S,R
17100050726,2,S,R
17100050727,6,B,R
17100050728,3,S,G
17100050729,2,S,R
17100050730,1,S,G
17100050731,6,B,R
17100050732,9,B,G
17100050733,0,S,R
17100050734,5,B,G
17100050735,0,S,R
17100050736,4,S,R
17100050737,2,S,R
17100050738,3,S,G
17100050739,0,S,R
17100050740,2,S,R
17100050741,5,B,G
17100050742,0,S,R
17100050743,4,S,R
17100050744,3,S,G
17100050745,6,B,R
17100050746,8,B,R
17100050747,4,S,R
17100050748,7,B,G
17100050749,0,S,R
17100050750,1,S,G
17100050751,5,B,G
17100050752,2,S,R
17100050753,6,B,R
17100050754,3,S,G
17100050755,0,S,R
17100050756,3,S,G
17100050757,9,B,G
17100050758,4,S,R
17100050759,3,S,G
17100050760,4,S,R
17100050761,2,S,R
17100050762,9,B,G
17100050763,2,S,R
17100050764,9,B,G
17100050765,0,S,R
17100050766,1,S,G
17100050767,8,B,R
17100050768,0,S,R
17100050769,2,S,R
17100050770,5,B,G
17100050771,6,B,R
17100050772,6,B,R
17100050773,0,S,R
17100050774,8,B,R
17100050775,1,S,G
17100050776,2,S,R
17100050777,7,B,G
17100050778,7,B,G
17100050779,2,S,R
17100050780,4,S,R
17100050781,1,S,G
17100050782,6,B,R
17100050783,7,B,G
17100050784,1,S,G
17100050785,5,B,G
17100050786,7,B,G
17100050787,0,S,R
17100050788,9,B,G
17100050789,5,B,G
17100050790,4,S,R
17100050791,1,S,G
17100050792,0,S,R
17100050793,2,S,R
17100050794,7,B,G
17100050795,9,B,G
17100050796,2,S,R
17100050797,3,S,G
17100050798,1,S,G
17100050799,9,B,G
17100050800,3,S,G
17100050801,5,B,G
17100050802,3,S,G
17100050803,8,B,R
17100050804,8,B,R
17100050805,4,S,R
17100050806,5,B,G
17100050807,5,B,G
17100050808,5,B,G
17100050809,7,B,G
17100050810,9,B,G
17100050811,6,B,R
17100050812,9,B,G
17100050813,6,B,R
17100050814,9,B,G
17100050815,5,B,G
17100050816,4,S,R
17100050817,6,B,R
17100050818,3,S,G
17100050819,5,B,G
17100050820,8,B,R
17100050821,4,S,R
17100050822,2,S,R
17100050823,3,S,G
17100050824,3,S,G
17100050825,7,B,G
17100050826,5,B,G
17100050827,6,B,R
17100050828,5,B,G
17100050829,7,B,G
17100050830,7,B,G
17100050831,7,B,G
17100050832,9,B,G
17100050833,8,B,R
17100050834,5,B,G
17100050835,4,S,R
17100050836,1,S,G
17100050837,4,S,R
17100050838,4,S,R
17100050839,5,B,G
17100050840,8,B,R
17100050841,1,S,G
17100050842,6,B,R
17100050843,9,B,G
17100050844,6,B,R
17100050845,2,S,R
17100050846,3,S,G
17100050847,1,S,G
17100050848,3,S,G
17100050849,9,B,G
17100050850,1,S,G
17100050851,2,S,R
17100050852,1,S,G
17100050853,7,B,G
17100050854,3,S,G
17100050855,6,B,R
17100050856,8,B,R
17100050857,1,S,G
17100050858,8,B,R
17100050859,0,S,R
17100050860,0,S,R
17100050861,3,S,G
17100050862,0,S,R
17100050863,4,S,R
17100050864,2,S,R
17100050865,9,B,G
17100050866,1,S,G
17100050867,2,S,R
17100050868,9,B,G
17100050869,8,B,R
17100050870,8,B,R
17100050871,0,S,R
17100050872,1,S,G
17100050873,4,S,R
17100050874,9,B,G
17100050875,2,S,R
17100050876,6,B,R
17100050877,8,B,R
17100050878,2,S,R
17100050879,0,S,R
17100050880,2,S,R
17100050881,4,S,R
17100050882,8,B,R
17100050883,0,S,R
17100050884,2,S,R
17100050885,5,B,G
17100050886,3,S,G
17100050887,7,B,G
17100050888,8,B,R
17100050889,1,S,G
17100050890,7,B,G
17100050891,7,B,G
17100050892,6,B,R
17100050893,0,S,R
17100050894,1,S,G
17100050895,9,B,G
17100050896,5,B,G
17100050897,6,B,R
17100050898,5,B,G
17100050899,1,S,G
17100050900,6,B,R
17100050901,0,S,R
17100050902,6,B,R
17100050903,0,S,R
17100050904,9,B,G
17100050905,9,B,G
17100050906,7,B,G
17100050907,6,B,R
17100050908,5,B,G
17100050909,0,S,R
17100050910,8,B,R
17100050911,6,B,R
17100050912,1,S,G
17100050913,1,S,G
17100050914,0,S,R
17100050915,4,S,R
17100050916,8,B,R
17100050917,4,S,R
17100050918,3,S,G
17100050919,9,B,G
17100050920,4,S,R
17100050921,7,B,G
17100050922,7,B,G
17100050923,9,B,G
17100050924,0,S,R
17100050925,6,B,R
17100050926,6,B,R
17100050927,0,S,R
17100050928,9,B,G
17100050929,9,B,G
17100050930,9,B,G
17100050931,4,S,R
17100050932,1,S,G
17100050933,5,B,G
17100050934,4,S,R
17100050935,3,S,G
17100050936,4,S,R
17100050937,4,S,R
17100050938,2,S,R
17100050939,1,S,G
17100050940,8,B,R
17100050941,5,B,G
17100050942,2,S,R
17100050943,1,S,G
17100050944,5,B,G
17100050945,1,S,G
17100050946,0,S,R
17100050947,5,B,G
17100050948,1,S,G
17100050949,2,S,R
17100050950,4,S,R
17100050951,7,B,G
17100050952,9,B,G
17100050953,0,S,R
17100050954,6,B,R
17100050955,8,B,R
17100050956,4,S,R
17100050957,7,B,G
17100050958,0,S,R
17100050959,0,S,R
17100050960,6,B,R
17100050961,5,B,G
17100050962,1,S,G
17100050963,0,S,R
17100050964,7,B,G
17100050965,1,S,G
17100050966,3,S,G
17100050967,7,B,G
17100050968,0,S,R
17100050969,8,B,R
17100050970,0,S,R
17100050971,1,S,G
17100050972,2,S,R
17100050973,5,B,G
17100050974,2,S,R
17100050975,8,B,R
17100050976,1,S,G
17100050977,7,B,G
17100050978,3,S,G
17100050979,8,B,R
17100050980,1,S,G
17100050981,8,B,R
17100050982,1,S,G
17100050983,5,B,G
17100050984,6,B,R
17100050985,7,B,G
17100050986,5,B,G
17100050987,4,S,R
17100050988,2,S,R
17100050989,6,B,R
17100050990,3,S,G
17100050991,9,B,G
17100050992,5,B,G
17100050993,0,S,R
17100050994,9,B,G
17100050995,8,B,R
17100050996,2,S,R
17100050997,8,B,R
17100050998,6,B,R
17100050999,6,B,R
17100051000,6,B,R
17100051001,5,B,G
17100051002,1,S,G
17100051003,1,S,G
17100051004,0,S,R
17100051005,0,S,R
17100051006,7,B,G
17100051007,4,S,R
17100051008,6,B,R
17100051009,8,B,R
17100051010,0,S,R
17100051011,4,S,R
17100051012,7,B,G
17100051013,6,B,R
17100051014,0,S,R
17100051015,5,B,G
17100051016,5,B,G
17100051017,4,S,R
17100051018,8,B,R
17100051019,7,B,G
17100051020,3,S,G
17100051021,8,B,R
17100051022,9,B,G
17100051023,3,S,G
17100051024,8,B,R
17100051025,7,B,G
17100051026,7,B,G
17100051027,3,S,G
17100051028,4,S,R
17100051029,4,S,R
17100051030,4,S,R
17100051031,7,B,G
17100051032,1,S,G
17100051033,6,B,R
17100051034,2,S,R
17100051035,4,S,R
17100051036,0,S,R
17100051037,0,S,R
17100051038,3,S,G
17100051039,0,S,R
17100051040,7,B,G
17100051041,7,B,G
17100051042,9,B,G
17100051043,0,S,R
17100051044,7,B,G
17100051045,3,S,G
17100051046,2,S,R
17100051047,6,B,R
17100051048,9,B,G
17100051049,9,B,G
17100051050,5,B,G
17100051051,5,B,G
17100051052,0,S,R
17100051053,5,B,G
17100051054,7,B,G
17100051055,2,S,R
17100051056,6,B,R
17100051057,2,S,R
17100051058,7,B,G
17100051059,2,S,R
17100051060,3,S,G
17100051061,5,B,G
17100051062,5,B,G
17100051063,3,S,G
17100051064,1,S,G
17100051065,9,B,G
17100051066,1,S,G
17100051067,5,B,G
17100051068,5,B,G
17100051069,9,B,G
17100051070,2,S,R
17100051071,7,B,G
17100051072,0,S,R
17100051073,2,S,R
17100051074,3,S,G
17100051075,3,S,G
17100051076,9,B,G
17100051077,8,B,R
17100051078,6,B,R
17100051079,3,S,G
17100051080,2,S,R
17100051081,5,B,G
17100051082,3,S,G
17100051083,1,S,G
17100051084,0,S,R
17100051085,2,S,R
17100051086,1,S,G
17100051087,9,B,G
17100051088,6,B,R
17100051089,7,B,G
17100051090,3,S,G
17100051091,7,B,G
17100051092,4,S,R
17100051093,6,B,R
17100051094,0,S,R
17100051095,6,B,R
17100051096,5,B,G
17100051097,3,S,G
17100051098,2,S,R
17100051099,4,S,R
17100051100,9,B,G
17100051101,6,B,R
17100051102,6,B,R
17100051103,4,S,R
17100051104,5,B,G
17100051105,9,B,G
17100051106,4,S,R
17100051107,1,S,G
17100051108,7,B,G
17100051109,0,S,R
17100051110,6,B,R
17100051111,6,B,R
17100051112,3,S,G
17100051113,5,B,G
17100051114,4,S,R
17100051115,8,B,R
17100051116,7,B,G
17100051117,1,S,G
17100051118,8,B,R
17100051119,1,S,G
17100051120,8,B,R
17100051121,7,B,G
17100051122,2,S,R
17100051123,1,S,G
17100051124,4,S,R
17100051125,9,B,G
17100051126,3,S,G
17100051127,0,S,R
17100051128,4,S,R
17100051129,3,S,G
17100051130,8,B,R
17100051131,7,B,G
17100051132,0,S,R
17100051133,7,B,G
17100051134,4,S,R
17100051135,8,B,R
17100051136,2,S,R
17100051137,9,B,G
17100051138,2,S,R
17100051139,7,B,G
17100051140,0,S,R
17100051141,9,B,G
17100051142,7,B,G
17100051143,6,B,R
17100051144,8,B,R
17100051145,0,S,R
17100051146,4,S,R
17100051147,1,S,G
17100051148,7,B,G
17100051149,8,B,R
17100051150,6,B,R
17100051151,5,B,G
17100051152,3,S,G
17100051153,5,B,G
17100051154,9,B,G
17100051155,7,B,G
17100051156,9,B,G
17100051157,0,S,R
17100051158,2,S,R
17100051159,7,B,G
17100051160,6,B,R
17100051161,2,S,R
17100051162,4,S,R
17100051163,5,B,G
17100051164,6,B,R
17100051165,9,B,G
17100051166,6,B,R
17100051167,4,S,R
17100051168,3,S,G
17100051169,3,S,G
17100051170,8,B,R
17100051171,7,B,G
17100051172,8,B,R
17100051173,5,B,G
17100051174,8,B,R
17100051175,4,S,R
17100051176,6,B,R
17100051177,9,B,G
17100051178,3,S,G
17100051179,9,B,G
17100051180,2,S,R
17100051181,5,B,G
17100051182,9,B,G
17100051183,8,B,R
17100051184,0,S,R
17100051185,6,B,R
17100051186,8,B,R
17100051187,1,S,G
17100051188,0,S,R
17100051189,6,B,R
17100051190,6,B,R
17100051191,3,S,G
17100051192,0,S,R
17100051193,4,S,R
17100051194,6,B,R
17100051195,7,B,G
17100051196,4,S,R
17100051197,6,B,R
17100051198,6,B,R
17100051199,3,S,G
17100051200,4,S,R
17100051201,0,S,R
17100051202,6,B,R
17100051203,9,B,G
17100051204,2,S,R
17100051205,9,B,G
17100051206,8,B,R
17100051207,0,S,R
17100051208,3,S,G
17100051209,1,S,G
17100051210,6,B,R
17100051211,2,S,R
17100051212,7,B,G
17100051213,5,B,G
17100051214,8,B,R
17100051215,0,S,R
17100051216,7,B,G
17100051217,7,B,G
17100051218,3,S,G
17100051219,4,S,R
17100051220,8,B,R
17100051221,4,S,R
17100051222,2,S,R
17100051223,4,S,R
17100051224,5,B,G
17100051225,1,S,G
17100051226,5,B,G
17100051227,6,B,R
17100051228,7,B,G
17100051229,1,S,G
17100051230,3,S,G
17100051231,8,B,R
17100051232,9,B,G
17100051233,6,B,R
17100051234,0,S,R
17100051235,3,S,G
17100051236,6,B,R
17100051237,2,S,R
17100051238,5,B,G
17100051239,5,B,G
17100051240,0,S,R
17100051241,3,S,G
17100051242,1,S,G
17100051243,5,B,G
17100051244,1,S,G
17100051245,6,B,R
17100051246,6,B,R
17100051247,8,B,R
17100051248,1,S,G
17100051249,2,S,R
17100051250,8,B,R
17100051251,2,S,R
17100051252,5,B,G
17100051253,0,S,R
17100051254,4,S,R
17100051255,0,S,R
17100051256,2,S,R
17100051257,5,B,G
17100051258,2,S,R
17100051259,9,B,G
17100051260,2,S,R
17100051261,0,S,R
17100051262,0,S,R
17100051263,2,S,R
17100051264,7,B,G
17100051265,3,S,G
17100051266,1,S,G
17100051267,5,B,G
17100051268,3,S,G
17100051269,9,B,G
17100051270,5,B,G
17100051271,3,S,G
17100051272,8,B,R
17100051273,5,B,G
17100051274,5,B,G
17100051275,8,B,R
17100051276,7,B,G
17100051277,2,S,R
17100051278,4,S,R
17100051279,3,S,G
17100051280,3,S,G
17100051281,8,B,R
17100051282,5,B,G
17100051283,9,B,G
